output_id,"Train, Test, Eval",Train/Test Samples,mask_match,shape_match,rotation_match,color_match,Comments,Tagging,Errors
0d3d703e,training,"(4, 1)",TRUE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,['associate_colors_to_colors'],
d511f180,training,"(3, 1)",TRUE,TRUE,FALSE,FALSE,https://www.kaggle.com/c/abstraction-and-reasoning-challenge/discussion/131021#760920,['associate_colors_to_colors'],TRUE
27a28665,training,"(7, 3)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['associate_colors_to_patterns', 'take_negative', 'associate_images_to_patterns']",
0e206a2e,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['associate_patterns_to_patterns', 'pattern_repetition', 'pattern_rotation', 'pattern_reflection', 'pattern_juxtaposition']",
9edfc990,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['background_filling', 'holes']",
a64e4611,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['background_filling', 'rectangle_guessing']",
d6ad076f,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['bridges', 'connect_the_dots', 'draw_line_from_point']",
1a07d186,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['bring_patterns_close', 'find_the_intruder']",
d687bc17,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://github.com/fchollet/ARC/pull/39,"['bring_patterns_close', 'gravity', 'direction_guessing', 'find_the_intruder', 'remove_intruders']",TRUE
ae3edfdc,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['bring_patterns_close', 'gravity']",
85c4e7cd,training,"(4, 1)",TRUE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_guessing', 'recoloring', 'color_permutation']",
5ad4f10b,training,"(3, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_guessing', 'remove_noise', 'recoloring', 'crop', 'image_resizing']",
7e0986d6,training,"(2, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_guessing', 'remove_noise']",
7c008303,training,"(3, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_palette', 'detect_grid', 'recoloring', 'color_guessing', 'separate_images', 'crop']",
6ecd11f4,training,"(3, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_palette', 'recoloring', 'pattern_resizing', 'crop']",
ddf7fa4f,training,"(3, 1)",TRUE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['color_palette', 'recoloring']",
22eb0ac0,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['connect_the_dots', 'color_matching']",
1f876c06,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['connect_the_dots', 'diagonals']",
253bf280,training,"(8, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['connect_the_dots', 'direction_guessing']",
d4a91cb9,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['connect_the_dots', 'direction_guessing']",
6cdd2623,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['connect_the_dots', 'find_the_intruder', 'remove_noise']",
40853293,training,"(2, 1)",FALSE,TRUE,FALSE,TRUE,"https://www.kaggle.com/davidbnn92/task-tagging
https://www.kaggle.com/c/abstraction-and-reasoning-challenge/discussion/131021",['connect_the_dots'],TRUE
a2fd1cf0,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,['connect_the_dots'],
dbc1a6ce,training,"(4, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,['connect_the_dots'],
ded97339,training,"(3, 1)",FALSE,TRUE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,['connect_the_dots'],
913fb3ed,training,"(4, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['contouring', 'associate_colors_to_colors']",
db93a21d,training,"(4, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['contouring', 'draw_line_from_point', 'measure_area', 'measure_length', 'algebra']",
543a7ed5,training,"(2, 1)",TRUE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['contouring', 'loop_filling']",
dc1df850,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['contouring', 'pattern_expansion', 'out_of_boundary']",
6e02f1e3,training,"(5, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_different_colors', 'associate_images_to_numbers']",
1fad071e,training,"(3, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_patterns', 'associate_images_to_numbers']",
39a8645d,training,"(3, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_patterns', 'take_maximum', 'crop']",
ff28f65a,training,"(8, 3)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_shapes', 'associate_images_to_numbers']",
91413438,training,"(4, 1)",FALSE,FALSE,FALSE,TRUE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_tiles', 'algebra', 'image_repetition']",
794b24be,training,"(10, 2)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_tiles', 'associate_images_to_numbers']",
d631b094,training,"(4, 1)",FALSE,FALSE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_tiles', 'dominant_color', 'summarize']",
5582e5ca,training,"(3, 1)",FALSE,TRUE,FALSE,FALSE,https://www.kaggle.com/davidbnn92/task-tagging,"['count_tiles', 'dominant_color']",
